range,area,pt,x,y,Hillshade index
Toiyabe,Jett,JE01.1,481292.00000000000,4286426.00000000000,213
Toiyabe,Jett,JE01.2,480943.00000000000,4286510.00000000000,201
Toiyabe,Jett,JE01.3,480602.00000000000,4286575.00000000000,200
Toiyabe,Jett,JE02.1,480042.00000000000,4286915.00000000000,208
Toiyabe,Jett,JE02.2,479554.00000000000,4287084.00000000000,219
Toiyabe,Jett,JE02.3,479032.00000000000,4287356.00000000000,220
Toiyabe,Jett,JE03.1,478738.00000000000,4287599.00000000000,222
Toiyabe,Jett,JE03.2,478552.00000000000,4287654.00000000000,196
Toiyabe,Jett,JE03.3,478243.00000000000,4287949.00000000000,126
Toquima,Meadow,MD01.1,512295.00000000000,4277782.00000000000,205
Toquima,Meadow,MD01.2,511844.00000000000,4278222.00000000000,204
Toquima,Meadow,MD01.3,511062.00000000000,4279066.00000000000,203
Toquima,Meadow,MD02.1,510018.00000000000,4280073.00000000000,186
Toquima,Meadow,MD02.2,509176.00000000000,4280604.00000000000,208
Toquima,Meadow,MD02.3,508562.00000000000,4281002.00000000000,201
Toquima,Meadow,MD03.1,507148.00000000000,4282357.00000000000,202
Toquima,Meadow,MD03.2,506561.00000000000,4282170.00000000000,200
Toquima,Meadow,MD04.1,505955.00000000000,4281915.00000000000,187
Toquima,Meadow,MD04.2,505683.00000000000,4282116.00000000000,169
Toquima,Meadow,MD05.1,505506.00000000000,4282528.00000000000,210
Toquima,Meadow,MD05.2,505212.00000000000,4282660.00000000000,209
Toquima,Moores East,ME01.1,508352.00000000000,4301628.00000000000,198
Toquima,Moores East,ME01.2,508762.00000000000,4301637.00000000000,205
Toquima,Moores East,ME02.1,509541.00000000000,4301985.00000000000,209
Toquima,Moores East,ME02.2,509955.00000000000,4302205.00000000000,193
Toquima,Moores East,ME03.1,511611.00000000000,4301799.00000000000,228
Toquima,Moores East,ME03.2,511995.00000000000,4301668.00000000000,194
Toquima,Moores East,ME04.1,513245.00000000000,4300632.00000000000,208
Toquima,Moores East,ME04.2,514277.00000000000,4300653.00000000000,222
Toquima,Moores West,MW01.1,502376.00000000000,4304048.00000000000,220
Toquima,Moores West,MW01.2,503722.00000000000,4303756.00000000000,213
Toquima,Moores West,MW02.1,504135.00000000000,4303463.00000000000,224
Toquima,Moores West,MW02.2,504416.00000000000,4303175.00000000000,209
Toquima,Moores West,MW03.1,505236.00000000000,4302426.00000000000,202
Toquima,Moores West,MW03.2,505684.00000000000,4301905.00000000000,224
Toquima,Moores West,MW04.1,506482.00000000000,4300881.00000000000,224
Toquima,Moores West,MW04.2,507099.00000000000,4301024.00000000000,211
Toquima,Moores West,MW05.1,507488.00000000000,4301516.00000000000,232
Toquima,Moores West,MW05.2,507782.00000000000,4301548.00000000000,221
Toquima,Northumberland East,NE01.1,514315.00000000000,4306160.00000000000,207
Toquima,Northumberland East,NE01.2,513633.00000000000,4306615.00000000000,211
Toquima,Northumberland East,NE02.1,511935.00000000000,4308340.00000000000,235
Toquima,Northumberland East,NE02.2,512003.00000000000,4309382.00000000000,243
Toquima,Northumberland East,NE03.1,512846.00000000000,4310449.00000000000,212
Toquima,Northumberland East,NE03.2,513433.00000000000,4310531.00000000000,224
Toquima,Northumberland East,NE04.1,513289.00000000000,4310889.00000000000,236
Toquima,Northumberland East,NE04.2,513369.00000000000,4311288.00000000000,237
Toquima,Northumberland East,NE05.1,513374.00000000000,4312341.00000000000,250
Toquima,Northumberland East,NE05.2,513403.00000000000,4313107.00000000000,237
Toquima,Northumberland West,NW01.1,508212.00000000000,4316584.00000000000,188
Toquima,Northumberland West,NW01.2,509227.00000000000,4315457.00000000000,210
Toquima,Northumberland West,NW02.1,509726.00000000000,4315261.00000000000,209
Toquima,Northumberland West,NW02.2,511246.00000000000,4314659.00000000000,215
Toquima,Northumberland West,NW03.1,511731.00000000000,4314385.00000000000,195
Toquima,Northumberland West,NW03.2,512152.00000000000,4313855.00000000000,244
Toquima,Northumberland West,NW04.1,512270.00000000000,4313577.00000000000,242
Toquima,Northumberland West,NW04.2,512335.00000000000,4312993.00000000000,241
Toquima,Northumberland West,NW05.1,512242.00000000000,4312720.00000000000,195
Toquima,Northumberland West,NW06.1,512700.00000000000,4312966.00000000000,176
Toquima,Northumberland West,NW06.2,513081.00000000000,4313099.00000000000,235
Toiyabe,Ophir,OP01.1,478608.00000000000,4310154.00000000000,208
Toiyabe,Ophir,OP01.2,478207.00000000000,4310375.00000000000,161
Toiyabe,Ophir,OP02.1,477850.00000000000,4310416.00000000000,186
Toiyabe,Ophir,OP02.2,477519.00000000000,4310331.00000000000,157
Toiyabe,Ophir,OP03.1,477123.00000000000,4310512.00000000000,212
Toiyabe,Ophir,OP03.2,476818.00000000000,4310735.00000000000,193
Toiyabe,Ophir,OP04.1,475875.00000000000,4310641.00000000000,192
Toiyabe,Ophir,OP05.1,475407.00000000000,4310665.00000000000,217
Toiyabe,Ophir,OP05.2,474938.00000000000,4310724.00000000000,177
Toiyabe,Ophir,OP06.1,474322.00000000000,4310756.00000000000,192
Toiyabe,Ophir,OP06.2,473902.00000000000,4310610.00000000000,191
Toiyabe,Ophir,OP07.1,473586.00000000000,4310655.00000000000,135
Toiyabe,Ophir,OP08.1,473340.00000000000,4310304.00000000000,170
Toiyabe,Ophir,OP09.1,473110.00000000000,4310337.00000000000,155
Toiyabe,Ophir,OP09.2,472702.00000000000,4310313.00000000000,124
Shoshone,Riley,RI01.1,463233.00000000000,4329300.00000000000,217
Shoshone,Riley,RI01.2,462743.00000000000,4329787.00000000000,182
Shoshone,Riley,RI02.1,462578.00000000000,4330360.00000000000,200
Shoshone,Riley,RI02.2,462370.00000000000,4330938.00000000000,203
Shoshone,Riley,RI03.1,462568.00000000000,4332105.00000000000,221
Shoshone,Riley,RI03.2,462716.00000000000,4332560.00000000000,225
Shoshone,Riley,RI04.1,462527.00000000000,4333413.00000000000,208
Shoshone,Riley,RI04.2,462424.00000000000,4334066.00000000000,224
Shoshone,Riley,RI05.1,462019.00000000000,4334785.00000000000,210
Shoshone,Riley,RI05.2,462451.00000000000,4334910.00000000000,204
Monitor,Ryegrass,RY01,550541.00000000000,4337427.00000000000,214
Monitor,Ryegrass,RY02,549231.00000000000,4336911.00000000000,215
Monitor,Ryegrass,RY03,547857.00000000000,4337274.00000000000,214
Monitor,Ryegrass,RY04,546829.00000000000,4337745.00000000000,211
Monitor,Ryegrass,RY05,545857.00000000000,4337650.00000000000,197
Monitor,Ryegrass,RY06,545188.00000000000,4338026.00000000000,214
Monitor,Ryegrass,RY07,544472.00000000000,4338787.00000000000,221
Toiyabe,San Juan,SJ01.1,475112.00000000000,4333109.00000000000,176
Toiyabe,San Juan,SJ01.2,475197.00000000000,4332753.00000000000,152
Toiyabe,San Juan,SJ01.3,475522.00000000000,4331845.00000000000,237
Toiyabe,San Juan,SJ02.1,476215.00000000000,4330473.00000000000,236
Toiyabe,San Juan,SJ02.2,476201.00000000000,4330189.00000000000,192
Toiyabe,San Juan,SJ02.3,476920.00000000000,4330237.00000000000,196
Toiyabe,San Juan,SJ03.1,477190.00000000000,4330669.00000000000,238
Toiyabe,San Juan,SJ03.2,477327.00000000000,4330880.00000000000,238
Toiyabe,San Juan,SJ04.1,477284.00000000000,4331007.00000000000,194
Toiyabe,San Juan,SJ04.2,477468.00000000000,4331144.00000000000,244
Toiyabe,San Juan,SJ05.1,477710.00000000000,4331150.00000000000,216
Toiyabe,San Juan,SJ05.2,478015.00000000000,4330640.00000000000,190
Toiyabe,Summit,SU01.1,479257.00000000000,4313358.00000000000,176
Toiyabe,Summit,SU01.2,478677.00000000000,4313528.00000000000,149
Toiyabe,Summit,SU02.1,478370.00000000000,4313751.00000000000,193
Toiyabe,Summit,SU02.2,478226.00000000000,4313749.00000000000,190
Toiyabe,Summit,SU03.1,477620.00000000000,4314075.00000000000,214
Toiyabe,Summit,SU03.2,477277.00000000000,4314119.00000000000,211
Toiyabe,Summit,SU04.1,476898.00000000000,4314091.00000000000,156
Toiyabe,Summit,SU04.2,476402.00000000000,4314164.00000000000,138
Toiyabe,Summit,SU05.1,476069.00000000000,4314635.00000000000,247
Toiyabe,Summit,SU05.2,475934.00000000000,4314998.00000000000,223
Toiyabe,Summit,SU06.1,475658.00000000000,4315078.00000000000,151
Toiyabe,Summit,SU06.2,475781.00000000000,4314913.00000000000,127
Toiyabe,Stewart,SW00.1,467063.00000000000,4305943.00000000000,148
Toiyabe,Stewart,SW01.1,467308.00000000000,4305727.00000000000,170
Toiyabe,Stewart,SW01.2,467478.00000000000,4305383.00000000000,200
Toiyabe,Stewart,SW02.1,467712.00000000000,4305124.00000000000,204
Toiyabe,Stewart,SW02.2,467930.00000000000,4304901.00000000000,238
Toiyabe,Stewart,SW03.1,468386.00000000000,4304751.00000000000,159
Toiyabe,Stewart,SW03.2,468645.00000000000,4304499.00000000000,199
Toiyabe,Stewart,SW04.1,468921.00000000000,4304312.00000000000,242
Toiyabe,Stewart,SW05.1,469128.00000000000,4304223.00000000000,244
Toiyabe,Stewart,SW05.2,469271.00000000000,4304135.00000000000,250
Toiyabe,Stewart,SW06.1,469408.00000000000,4303832.00000000000,242
Toiyabe,Stewart,SW06.2,469437.00000000000,4303521.00000000000,205
Shoshone,Underdown,UN01.1,466955.00000000000,4334270.00000000000,219
Shoshone,Underdown,UN01.2,466507.00000000000,4334325.00000000000,187
Shoshone,Underdown,UN02.1,465834.00000000000,4334717.00000000000,195
Shoshone,Underdown,UN02.2,465345.00000000000,4334870.00000000000,220
Shoshone,Underdown,UN03.1,464392.00000000000,4335151.00000000000,213
Shoshone,Underdown,UN03.2,463859.00000000000,4335420.00000000000,210
Shoshone,Underdown,UN04.1,463046.00000000000,4335553.00000000000,208
Shoshone,Underdown,UN04.2,462172.00000000000,4336062.00000000000,209
Shoshone,Underdown,UN05.1,461858.00000000000,4335606.00000000000,202
Shoshone,Underdown,UN05.2,461771.00000000000,4334944.00000000000,196
Shoshone,Underdown,UN06.1,461400.00000000000,4334852.00000000000,192
Shoshone,Underdown,UN06.2,461304.00000000000,4334523.00000000000,188
Shoshone,Underdown,UN07.1,461094.00000000000,4334514.00000000000,190
Shoshone,Underdown,UN07.2,461002.00000000000,4334601.00000000000,219
Shoshone,Underdown,UN0B1,466208.00000000000,4334493.00000000000,183
Shoshone,Underdown,UN0B2,465679.00000000000,4334701.00000000000,191
Shoshone,Underdown,UN0B3,465579.00000000000,4334726.00000000000,188
Shoshone,Underdown,UN0B4,465472.00000000000,4334801.00000000000,206
Shoshone,Underdown,UN0B5,464142.00000000000,4335228.00000000000,198
Shoshone,Underdown,UN0B6,463923.00000000000,4335318.00000000000,193
Shoshone,Underdown,UN0B7,463704.00000000000,4335430.00000000000,203
Toiyabe,Wall,WA01.1,480640.00000000000,4281421.00000000000,174
Toiyabe,Wall,WA01.2,479744.00000000000,4281663.00000000000,204
Toiyabe,Wall,WA02.1,478861.00000000000,4281929.00000000000,207
Toiyabe,Wall,WA02.2,478012.00000000000,4282228.00000000000,228
Toiyabe,Wall,WA03.1,477057.00000000000,4282690.00000000000,202
Toiyabe,Wall,WA03.2,476504.00000000000,4283065.00000000000,231
Toiyabe,Wall,WA04.1,475818.00000000000,4283922.00000000000,222
Toiyabe,Wall,WA04.2,475454.00000000000,4284265.00000000000,199
Toiyabe,Wall,WA05.1,474874.00000000000,4284514.00000000000,193
Toiyabe,Wall,WA05.2,474577.00000000000,4284907.00000000000,223
Toiyabe,Wall,WA06.1,474931.00000000000,4284883.00000000000,237
Toiyabe,Wall,WA0B1,476751.00000000000,4282806.00000000000,214
Toiyabe,Wall,WA0B2,476381.00000000000,4283210.00000000000,172
Toiyabe,Wall,WA0B3,476328.00000000000,4283496.00000000000,228
Toiyabe,Wall,WA0B4,475964.00000000000,4283880.00000000000,236
Toiyabe,Wall,WA0B5,475713.00000000000,4283998.00000000000,216
Toiyabe,Wall,WA0B6,475182.00000000000,4284300.00000000000,190
Toiyabe,Wall,WA0B7,474706.00000000000,4284574.00000000000,197
Toiyabe,Wall,WASG01,476468.00000000000,4282887.00000000000,202
Toiyabe,Wall,WASG02,476418.00000000000,4282970.00000000000,221
Toiyabe,Wall,WASG03,476446.00000000000,4282875.00000000000,203
Toiyabe,Wall,WASG04,476388.00000000000,4282949.00000000000,159
Toiyabe,Wall,WASG05,476385.00000000000,4282641.00000000000,202
Toiyabe,Wall,WASG06,476441.00000000000,4282701.00000000000,212
Toiyabe,Wall,WASG07,476388.00000000000,4282739.00000000000,171
Toiyabe,Wall,WASG08,476355.00000000000,4282651.00000000000,169
Toiyabe,Wall,WASG09,475918.00000000000,4283782.00000000000,211
Toiyabe,Wall,WASG10,475822.00000000000,4283733.00000000000,192
Toiyabe,Wall,WASG11,475820.00000000000,4283864.00000000000,212
Toiyabe,Wall,WASG12,475741.00000000000,4283805.00000000000,175
Monitor,White Sage,WH08,543778.00000000000,4339804.00000000000,234
Monitor,White Sage,WH09,541940.00000000000,4339565.00000000000,234
Monitor,White Sage,WH10,540988.00000000000,4337578.00000000000,210
Monitor,White Sage,WH11,540694.00000000000,4336326.00000000000,207
Monitor,White Sage,WH12,540593.00000000000,4335579.00000000000,209
Monitor,White Sage,WH13,539964.00000000000,4332918.00000000000,211
Monitor,Wallace,WL01,536931.00000000000,4350156.00000000000,212
Monitor,Wallace,WL02,537285.00000000000,4350420.00000000000,235
Monitor,Wallace,WL03,537523.00000000000,4350763.00000000000,224
Monitor,Wallace,WL04,538368.00000000000,4351727.00000000000,220
Monitor,Wallace,WL05,539890.00000000000,4352610.00000000000,174
Monitor,Wallace,WL06,540147.00000000000,4352583.00000000000,226
Monitor,Wallace,WL07,540416.00000000000,4352465.00000000000,226
Monitor,Wallace,WL08,540747.00000000000,4352367.00000000000,190
Monitor,Wallace,WL09,541348.00000000000,4352187.00000000000,218
Monitor,Wallace,WL10,541107.00000000000,4351457.00000000000,215
Monitor,Wallace,WL11,541577.00000000000,4349986.00000000000,200
Monitor,Wallace,WL12,542209.00000000000,4348896.00000000000,208
Monitor,Wallace,WL13,543406.00000000000,4347960.00000000000,234
Toiyabe,Washington,WS01.1,476444.00000000000,4334452.00000000000,219
Toiyabe,Washington,WS01.2,477267.00000000000,4334221.00000000000,223
Toiyabe,Washington,WS01.3,477752.00000000000,4334148.00000000000,240
Toiyabe,Washington,WS02.1,478393.00000000000,4333845.00000000000,237
Toiyabe,Washington,WS02.2,478611.00000000000,4333781.00000000000,242
Toiyabe,Washington,WS02.3,478989.00000000000,4333756.00000000000,232
Toiyabe,Washington,WS03.1,479632.00000000000,4333962.00000000000,206
Toiyabe,Washington,WS03.2,479948.00000000000,4334019.00000000000,228
Toiyabe,Washington,WS03.3,480513.00000000000,4334115.00000000000,225
Toiyabe,Washington,WS04.1,481133.00000000000,4333911.00000000000,208
Toiyabe,Washington,WS04.2,481610.00000000000,4333749.00000000000,231
Toiyabe,Washington,WS04.3,481887.00000000000,4333717.00000000000,238
Toiyabe,Washington,WS05.1,482186.00000000000,4333581.00000000000,223
Toiyabe,Washington,WS05.2,482533.00000000000,4333633.00000000000,222
Toiyabe,Washington,WS05.3,482662.00000000000,4333665.00000000000,219