"range","area","pt","brte","nsamp","elev","burn","pgraze","pgrassf","sppr","wtpr","propwtr","hillshade","medwtpcp","medpropwtr"
"Shoshone","Underdown","High.Control.M.1",1,50,2362.5,0,0,1,82.8,262.88,0.76047211293682,196,239.005,0.704301660232132
"Shoshone","Underdown","Low.Burned.M.1",2,50,2092.9,0,0,0.94,35.56,117.09,0.767048804454635,158,106.805,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.2",0,50,2092.2,0,0,0.96,35.56,117.09,0.767048804454635,176,106.805,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.3",12,50,2085.7,0,0,0.96,35.56,117.09,0.767048804454635,183,106.805,0.63747088796765
"Shoshone","Underdown","Low.Control.M.2",0,50,2060.9,0,0,1,35.56,117.09,0.767048804454635,187,106.805,0.63747088796765
"Shoshone","Underdown","Low.Control.M.3",1,50,2062.5,0,0,0.92,35.56,117.09,0.767048804454635,188,106.805,0.63747088796765
"Shoshone","Underdown","Mid.Burned.E.1",10,50,2234.2,0,0,0.98,57.4,187.71,0.765819428011913,198,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.2",2,50,2239.7,0,0,1,57.4,187.71,0.765819428011913,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.3",0,50,2236.9,0,0,1,57.4,187.71,0.765819428011913,195,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.1",6,50,2215.5,0,0,0.96,57.4,187.71,0.765819428011913,193,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.2",0,50,2215.5,0,0,0.98,57.4,187.71,0.765819428011913,206,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.3",2,50,2223.4,0,0,1,57.4,187.71,0.765819428011913,188,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.1",0,50,2228.7,0,0,0.98,57.4,187.71,0.765819428011913,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.2",1,50,2234.9,0,0,1,57.4,187.71,0.765819428011913,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.3",0,50,2232.5,0,0,0.98,57.4,187.71,0.765819428011913,198,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.2",0,50,2206.8,0,0,1,57.4,187.71,0.765819428011913,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.3",1,50,2201.3,0,0,1,57.4,187.71,0.765819428011913,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.1",0,50,2191.7,0,0,0.98,57.4,187.71,0.765819428011913,203,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.3",5,50,2179.2,0,0,0.94,57.4,187.71,0.765819428011913,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.1",8,50,2182.8,0,0,1,57.4,187.71,0.765819428011913,197,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.2",1,50,2206.1,0,0,0.98,57.4,187.71,0.765819428011913,202,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.3",10,50,2186.9,0,0,0.98,57.4,187.71,0.765819428011913,191,150.63,0.620887879812569
"Shoshone","Underdown","High.Control.M.1",2,30,2362.5,0,0,1,171.46,215.13,0.556481026410409,196,239.005,0.704301660232132
"Shoshone","Underdown","Low.Burned.M.1",3,30,2092.9,1,0,0.6,77.73,96.52,0.553916786226686,158,106.805,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.2",1,30,2092.2,1,0,0.466666666666667,77.73,96.52,0.553916786226686,176,106.805,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.3",3,30,2085.7,1,0,0.5,77.73,96.52,0.553916786226686,183,106.805,0.63747088796765
"Shoshone","Underdown","Low.Control.M.2",0,30,2060.9,0,0,0.933333333333333,77.73,96.52,0.553916786226686,187,106.805,0.63747088796765
"Shoshone","Underdown","Low.Control.M.3",1,30,2062.5,0,0,0.966666666666667,77.73,96.52,0.553916786226686,188,106.805,0.63747088796765
"Shoshone","Underdown","Mid.Burned.E.1",16,30,2234.2,1,0,0.866666666666667,122.17,150.63,0.55216275659824,198,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.2",2,30,2239.7,1,0,0.7,122.17,150.63,0.55216275659824,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.3",4,30,2236.9,1,0,0.933333333333333,122.17,150.63,0.55216275659824,195,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.1",3,30,2215.5,1,0,0.666666666666667,122.17,150.63,0.55216275659824,193,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.2",0,30,2215.5,1,0,0.0333333333333333,122.17,150.63,0.55216275659824,206,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.3",1,30,2223.4,1,0,0.333333333333333,122.17,150.63,0.55216275659824,188,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.1",1,30,2228.7,1,0,0.4,122.17,150.63,0.55216275659824,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.2",5,30,2234.9,1,0,0.833333333333333,122.17,150.63,0.55216275659824,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.3",1,30,2232.5,1,0,0.4,122.17,150.63,0.55216275659824,198,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.2",0,30,2206.8,0,0,1,122.17,150.63,0.55216275659824,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.3",4,30,2201.3,0,0,1,122.17,150.63,0.55216275659824,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.1",1,30,2191.7,0,0,1,122.17,150.63,0.55216275659824,203,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.3",3,30,2179.2,0,0,0.866666666666667,122.17,150.63,0.55216275659824,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.1",7,30,2182.8,0,0,0.966666666666667,122.17,150.63,0.55216275659824,197,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.2",0,30,2206.1,0,0,1,122.17,150.63,0.55216275659824,202,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.3",6,30,2186.9,0,0,0.966666666666667,122.17,150.63,0.55216275659824,191,150.63,0.620887879812569
"Shoshone","Underdown","High.Control.M.1",2,30,2362.5,0,0,1,107.7,198.38,0.648131207527444,196,239.005,0.704301660232132
"Shoshone","Underdown","Low.Burned.M.1",2,30,2092.9,1,0,0.666666666666667,49.53,69.85,0.585106382978723,158,106.805,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.2",3,30,2092.2,1,0,0.633333333333333,49.53,69.85,0.585106382978723,176,106.805,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.3",5,30,2085.7,1,0,0.6,49.53,69.85,0.585106382978723,183,106.805,0.63747088796765
"Shoshone","Underdown","Low.Control.M.2",1,30,2060.9,0,0,0.933333333333333,49.53,69.85,0.585106382978723,187,106.805,0.63747088796765
"Shoshone","Underdown","Low.Control.M.3",1,30,2062.5,0,0,0.8,49.53,69.85,0.585106382978723,188,106.805,0.63747088796765
"Shoshone","Underdown","Mid.Burned.E.1",23,30,2234.2,1,0,1,78.48,128.53,0.620887879812569,198,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.2",5,30,2239.7,1,0,0.9,78.48,128.53,0.620887879812569,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.3",9,30,2236.9,1,0,0.966666666666667,78.48,128.53,0.620887879812569,195,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.1",7,30,2215.5,1,0,0.833333333333333,78.48,128.53,0.620887879812569,193,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.2",0,30,2215.5,1,0,0.166666666666667,78.48,128.53,0.620887879812569,206,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.3",1,30,2223.4,1,0,0.5,78.48,128.53,0.620887879812569,188,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.1",7,30,2228.7,1,0,0.466666666666667,78.48,128.53,0.620887879812569,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.2",8,30,2234.9,1,0,0.866666666666667,78.48,128.53,0.620887879812569,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.3",2,30,2232.5,1,0,0.6,78.48,128.53,0.620887879812569,198,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.2",0,30,2206.8,0,0,0.966666666666667,78.48,128.53,0.620887879812569,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.3",0,30,2201.3,0,0,0.933333333333333,78.48,128.53,0.620887879812569,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.1",0,30,2191.7,0,0,0.933333333333333,78.48,128.53,0.620887879812569,203,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.3",3,30,2179.2,0,0,0.866666666666667,78.48,128.53,0.620887879812569,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.1",4,30,2182.8,0,0,0.933333333333333,78.48,128.53,0.620887879812569,197,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.2",1,30,2206.1,0,0,0.933333333333333,78.48,128.53,0.620887879812569,202,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.3",6,30,2186.9,0,0,0.9,78.48,128.53,0.620887879812569,191,150.63,0.620887879812569
"Monitor","Allison","AL15",1,31,2325,0,1,0.761904761904762,77,202,0.724014336917563,230,133,0.733333333333333
"Monitor","Allison","AL20",4,31,2227,0,1,0.523809523809524,67,170,0.717299578059072,206,112,0.73469387755102
"Shoshone","Riley","RI01.1",6,25,2065,0,1,0.4,71,178,0.714859437751004,217,94,0.709124634129739
"Shoshone","Riley","RI01.2",5,31,2115,0,1,0.476190476190476,71,178,0.714859437751004,182,94,0.709124634129739
"Shoshone","Riley","RI02.1",3,31,2147,0,1,0.80952380952381,71,178,0.714859437751004,200,94,0.709124634129739
"Shoshone","Riley","RI02.2",2,31,2182,0,1,0.666666666666667,71,178,0.714859437751004,203,94,0.709124634129739
"Shoshone","Riley","RI03.1",1,31,2259,0,1,0.952380952380952,71,178,0.714859437751004,221,94,0.709124634129739
"Shoshone","Riley","RI04.1",0,31,2368,0,1,0.857142857142857,85,238,0.736842105263158,208,125,0.721988165680473
"Shoshone","Riley","RI04.2",0,31,2412,0,1,0.904761904761905,85,238,0.736842105263158,224,125,0.721988165680473
"Shoshone","Riley","RI05.1",7,31,2483,0,1,0.714285714285714,108,349,0.763676148796499,210,198,0.733132379073139
"Shoshone","Riley","RI05.2",0,31,2545,0,1,0.761904761904762,85,238,0.736842105263158,204,125,0.721988165680473
"Monitor","Ryegrass","RY05",1,31,2337,0,1,0.619047619047619,79,208,0.724738675958188,197,135,0.730088495575221
"Toiyabe","Stewart","SW00.1",0,31,2605,0,0,0.952380952380952,102,286,0.737113402061856,148,160.5,0.714001770338778
"Toiyabe","Stewart","SW03.2",0,31,2897,0,0,0.666666666666667,143,419,0.745551601423488,199,238.5,0.706870426491241
"Toiyabe","Stewart","SW05.2",0,31,3067,0,0,0.761904761904762,143,419,0.745551601423488,250,238.5,0.706870426491241
"Toiyabe","Stewart","SW06.1",0,31,3162,0,0,0.952380952380952,142,414,0.744604316546763,242,235,0.703159862509799
"Shoshone","Underdown","UN01.1",4,24,2027,0,1,0.142857142857143,64,141,0.68780487804878,219,70,0.679268292682927
"Shoshone","Underdown","UN02.1",5,31,2114,0,1,0.761904761904762,64,141,0.68780487804878,195,70,0.679268292682927
"Shoshone","Underdown","UN02.2",11,31,2147,1,1,0.380952380952381,85,238,0.736842105263158,220,152,0.721988165680473
"Shoshone","Underdown","UN03.1",6,31,2207,1,1,0.714285714285714,85,238,0.736842105263158,213,152,0.721988165680473
"Shoshone","Underdown","UN03.2",13,31,2246,1,1,0.714285714285714,85,238,0.736842105263158,210,152,0.721988165680473
"Shoshone","Underdown","UN04.1",0,31,2296,0,1,0.80952380952381,85,238,0.736842105263158,208,125,0.721988165680473
"Shoshone","Underdown","UN04.2",2,31,2365,0,1,0.714285714285714,108,349,0.763676148796499,209,198,0.733132379073139
"Shoshone","Underdown","UN07.1",0,31,2634,0,1,1,108,349,0.763676148796499,190,198,0.733132379073139
"Shoshone","Underdown","UN07.2",1,31,2657,0,1,0.857142857142857,108,349,0.763676148796499,219,198,0.733132379073139
"Monitor","Wallace","WL01",15,24,2134,0,1,0.857142857142857,61,153,0.714953271028037,212,94,0.728813559322034
"Monitor","Wallace","WL02",1,24,2155,0,1,0.5,61,153,0.714953271028037,235,94,0.728813559322034
"Monitor","Wallace","WL04",3,31,2204,0,1,0.333333333333333,74,197,0.726937269372694,220,128,0.737556561085973
"Monitor","Wallace","WL05",1,24,2313,0,1,0.642857142857143,74,197,0.726937269372694,174,128,0.737556561085973
"Monitor","Wallace","WL06",0,31,2327,0,1,0.523809523809524,74,197,0.726937269372694,226,128,0.737556561085973
"Monitor","Wallace","WL07",2,31,2347,0,1,0.571428571428571,74,197,0.726937269372694,226,128,0.737556561085973
"Monitor","Wallace","WL08",3,31,2364,0,1,0.714285714285714,74,197,0.726937269372694,190,145.5,0.743778280542986
"Monitor","Wallace","WL09",3,31,2423,0,1,0.523809523809524,82,224,0.73202614379085,218,146,0.735537190082645
"Toiyabe","Washington","WS03.3",0,31,2395,0,1,0.523809523809524,133,389,0.745210727969349,225,218,0.729096989966555
"Toiyabe","Washington","WS04.1",2,24,2443,0,1,0.285714285714286,133,389,0.745210727969349,208,218,0.729096989966555
"Toiyabe","Washington","WS04.2",13,24,2485,0,1,0.214285714285714,133,389,0.745210727969349,231,218,0.729096989966555
"Toiyabe","Washington","WS04.3",0,31,2503,0,1,0.523809523809524,133,389,0.745210727969349,238,218,0.729096989966555
"Toiyabe","Washington","WS05.1",11,31,2539,0,1,0.714285714285714,133,389,0.745210727969349,223,218,0.729096989966555
"Toiyabe","Washington","WS05.2",1,24,2570,0,1,0.714285714285714,133,389,0.745210727969349,222,218,0.729096989966555
"Toiyabe","Washington","WS05.3",0,31,2585,0,1,0.904761904761905,133,389,0.745210727969349,219,218,0.729096989966555
"Shoshone","Underdown","High.Control.M.1",0,30,2362.5,0,0,0.8,108.2,349.25,0.763471417641272,196,239.005,0.704301660232132
"Shoshone","Underdown","Low.Burned.M.1",2,30,2092.9,1,0,0.566666666666667,63.5,141.23,0.689835392956577,158,106.805,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.2",12,30,2092.2,1,0,0.766666666666667,63.5,141.23,0.689835392956577,176,106.805,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.3",21,30,2085.7,1,0,0.466666666666667,63.5,141.23,0.689835392956577,183,106.805,0.63747088796765
"Shoshone","Underdown","Low.Control.M.2",0,30,2060.9,0,0,0.766666666666667,63.5,141.23,0.689835392956577,187,106.805,0.63747088796765
"Shoshone","Underdown","Low.Control.M.3",0,30,2062.5,0,0,0.666666666666667,63.5,141.23,0.689835392956577,188,106.805,0.63747088796765
"Shoshone","Underdown","Mid.Burned.E.1",24,30,2234.2,1,0,0.7,85.34,237.99,0.736059134630254,198,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.2",12,30,2239.7,1,0,0.766666666666667,85.34,237.99,0.736059134630254,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.3",13,30,2236.9,1,0,0.8,85.34,237.99,0.736059134630254,195,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.1",10,30,2215.5,1,0,0.8,85.34,237.99,0.736059134630254,193,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.2",2,30,2215.5,1,0,0.6,85.34,237.99,0.736059134630254,206,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.3",12,30,2223.4,1,0,0.766666666666667,85.34,237.99,0.736059134630254,188,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.1",15,30,2228.7,1,0,0.733333333333333,85.34,237.99,0.736059134630254,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.2",8,30,2234.9,1,0,0.733333333333333,85.34,237.99,0.736059134630254,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.3",14,30,2232.5,1,0,0.8,85.34,237.99,0.736059134630254,198,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.2",1,30,2206.8,0,0,0.8,85.34,237.99,0.736059134630254,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.3",0,30,2201.3,0,0,0.7,85.34,237.99,0.736059134630254,196,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.1",1,30,2191.7,0,0,0.7,85.34,237.99,0.736059134630254,203,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.3",1,30,2179.2,0,0,0.766666666666667,85.34,237.99,0.736059134630254,200,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.1",4,30,2182.8,0,0,0.733333333333333,85.34,237.99,0.736059134630254,197,169.17,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.2",0,30,2206.1,0,0,0.833333333333333,85.34,237.99,0.736059134630254,202,169.17,0.678473507221412
"Monitor","Dobbin East","DE05.3",0,21,2546,0,0,0.238095238095238,84,183,0.685393258426966,238,175.5,0.704235090751945
"Monitor","Dobbin East","DE06.1",3,21,2486,0,0,0.476190476190476,84,183,0.685393258426966,233,175.5,0.704235090751945
"Monitor","Dobbin West","DW01.2",1,21,2311,0,0,0.619047619047619,74,149,0.668161434977579,199,142,0.694080717488789
"Toiyabe","Birch","BI0B1",13,31,1900,1,1,0.476190476190476,46,132,0.741573033707865,206,132,0.720588235294118
"Toiyabe","Birch","BI0B2",10,31,1920,1,1,0.714285714285714,46,132,0.741573033707865,205,132,0.720588235294118
"Toiyabe","Birch","BI0B3",18,31,1929,1,1,0.523809523809524,46,132,0.741573033707865,208,132,0.720588235294118
"Toiyabe","Birch","BI0B4",17,31,1960,1,1,0.428571428571429,46,132,0.741573033707865,227,132,0.720588235294118
"Monitor","Barley","BL01",0,31,2249,0,1,0.523809523809524,34,124,0.784810126582278,214,110,0.735294117647059
"Monitor","Barley","BL03",0,31,2225,0,1,0.285714285714286,34,124,0.784810126582278,210,110,0.735294117647059
"Monitor","Barley","BL04",0,28,2241,0,1,0.5,48,191,0.799163179916318,214,165,0.744186046511628
"Monitor","Barley","BL05",0,31,2245,0,1,0.285714285714286,48,191,0.799163179916318,218,165,0.744186046511628
"Monitor","Barley","BL08",0,31,2275,0,1,0.761904761904762,48,191,0.799163179916318,221,165,0.744186046511628
"Monitor","Barley","BL09",1,31,2283,0,1,0.428571428571429,48,191,0.799163179916318,220,165,0.744186046511628
"Monitor","Barley","BL11",0,31,2318,0,1,0.476190476190476,48,191,0.799163179916318,205,165,0.744186046511628
"Monitor","Barley","BL12",3,31,2345,0,1,0.380952380952381,60,254,0.808917197452229,229,216,0.756183745583039
"Monitor","Barley","BL13",0,31,2359,0,1,0.523809523809524,60,254,0.808917197452229,178,216,0.756183745583039
"Monitor","Barley","BL14",0,31,2376,0,1,0.333333333333333,60,254,0.808917197452229,222,216,0.756183745583039
"Monitor","Barley","BL15",0,31,2389,0,1,0.523809523809524,60,254,0.808917197452229,246,216,0.756183745583039
"Toiyabe","Grass Springs","GS01",15,31,2179,1,0.666666667,0.285714285714286,54,160,0.747663551401869,183,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS02",0,31,2134,1,0.666666667,0.80952380952381,54,160,0.747663551401869,184,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS03",0,31,2085,1,0.666666667,0.19047619047619,54,160,0.747663551401869,229,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS04",2,31,2079,1,0.666666667,0.19047619047619,54,160,0.747663551401869,220,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS05",7,31,2087,1,0.666666667,0.476190476190476,54,160,0.747663551401869,209,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS06",9,31,2108,1,0.666666667,0.571428571428571,54,160,0.747663551401869,205,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS07",24,31,2145,1,0.666666667,0.238095238095238,54,160,0.747663551401869,190,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS08",18,31,2129,1,0.666666667,0.428571428571429,54,160,0.747663551401869,160,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS09",24,31,2078,1,0.666666667,0.0476190476190476,54,160,0.747663551401869,207,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS10",5,31,2062,1,0.666666667,0.333333333333333,54,160,0.747663551401869,206,159.5,0.716134268276847
"Shoshone","Underdown","UN0B1",16,31,2083,1,1,0.571428571428571,40,104,0.722222222222222,183,104,0.68780487804878
"Shoshone","Underdown","UN0B2",8,31,2129,1,1,0.761904761904762,57,175,0.754310344827586,191,175,0.728
"Shoshone","Underdown","UN0B3",15,31,2135,1,1,0.285714285714286,57,175,0.754310344827586,188,175,0.728
"Shoshone","Underdown","UN0B4",18,31,2137,1,1,0.428571428571429,57,175,0.754310344827586,206,175,0.728
"Shoshone","Underdown","UN0B5",14,31,2231,1,1,0.80952380952381,57,175,0.754310344827586,198,175,0.728
"Shoshone","Underdown","UN0B6",2,31,2245,1,1,0.80952380952381,57,175,0.754310344827586,193,175,0.728
"Shoshone","Underdown","UN0B7",1,31,2259,1,1,0.714285714285714,57,175,0.754310344827586,203,175,0.728
"Toiyabe","Wall","WA0B1",27,31,2174,1,1,0,47,133,0.738888888888889,214,133,0.695488721804511
"Toiyabe","Wall","WA0B2",30,31,2212,1,1,0.19047619047619,64,183,0.740890688259109,172,183,0.694623655913978
"Toiyabe","Wall","WA0B3",27,31,2227,1,1,0,64,183,0.740890688259109,228,183,0.694623655913978
"Toiyabe","Wall","WA0B4",25,30,2263,1,1,0.238095238095238,64,183,0.740890688259109,236,183,0.694623655913978
"Toiyabe","Wall","WA0B5",24,31,2267,1,1,0.0476190476190476,64,183,0.740890688259109,216,183,0.694623655913978
"Toiyabe","Wall","WA0B6",25,31,2321,1,1,0.142857142857143,64,183,0.740890688259109,190,183,0.694623655913978
"Toiyabe","Wall","WA0B7",27,31,2372,1,1,0,64,183,0.740890688259109,197,183,0.694623655913978
"Toiyabe","Birch","BI0B1",27,31,1900,1,0.75,0.428571428571429,127,132,0.50965250965251,206,132,0.720588235294118
"Toiyabe","Birch","BI0B2",22,31,1920,1,0.75,0.80952380952381,127,132,0.50965250965251,205,132,0.720588235294118
"Toiyabe","Birch","BI0B3",26,31,1929,1,0.75,0.285714285714286,127,132,0.50965250965251,208,132,0.720588235294118
"Toiyabe","Birch","BI0B4",11,23,1960,1,0.75,0.384615384615385,127,132,0.50965250965251,227,132,0.720588235294118
"Toiyabe","Grass Springs","GS01",20,31,2179,1,0.75,0.428571428571429,138,159,0.535353535353535,183,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS02",8,31,2134,1,0.75,0.619047619047619,138,159,0.535353535353535,184,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS03",1,31,2085,1,0.75,0.333333333333333,138,159,0.535353535353535,229,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS04",5,31,2079,1,0.75,0.19047619047619,138,159,0.535353535353535,220,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS05",13,31,2087,1,0.75,0.476190476190476,138,159,0.535353535353535,209,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS06",18,31,2108,1,0.75,0.476190476190476,138,159,0.535353535353535,205,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS07",28,31,2145,1,0.75,0.0952380952380952,138,159,0.535353535353535,190,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS08",22,31,2129,1,0.75,0.476190476190476,138,159,0.535353535353535,160,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS09",30,31,2078,1,0.75,0.0952380952380952,138,159,0.535353535353535,207,159.5,0.716134268276847
"Toiyabe","Grass Springs","GS10",11,31,2062,1,0.75,0.476190476190476,138,159,0.535353535353535,206,159.5,0.716134268276847
"Shoshone","Underdown","UN02.2",16,31,2147,1,1,0.666666666666667,162,175,0.519287833827893,220,152,0.721988165680473
"Shoshone","Underdown","UN03.1",16,31,2207,1,1,0.666666666666667,162,175,0.519287833827893,213,152,0.721988165680473
"Shoshone","Underdown","UN03.2",18,31,2246,1,1,0.571428571428571,162,175,0.519287833827893,210,152,0.721988165680473
"Shoshone","Underdown","UN0B1",18,31,2083,1,1,0.285714285714286,103,97,0.485,183,104,0.68780487804878
"Shoshone","Underdown","UN0B2",17,31,2129,1,1,0.19047619047619,162,175,0.519287833827893,191,175,0.728
"Shoshone","Underdown","UN0B3",22,31,2135,1,1,0.285714285714286,162,175,0.519287833827893,188,175,0.728
"Shoshone","Underdown","UN0B4",23,31,2137,1,1,0.428571428571429,162,175,0.519287833827893,206,175,0.728
"Shoshone","Underdown","UN0B5",23,31,2231,1,1,0.714285714285714,162,175,0.519287833827893,198,175,0.728
"Shoshone","Underdown","UN0B6",1,31,2245,1,1,0.761904761904762,162,175,0.519287833827893,193,175,0.728
"Shoshone","Underdown","UN0B7",3,31,2259,1,1,0.523809523809524,162,175,0.519287833827893,203,175,0.728
"Toiyabe","Wall","WA03.2",24,31,2201,1,1,0.714285714285714,135,138,0.505494505494505,231,119.5,0.68984962406015
"Toiyabe","Wall","WA04.1",21,31,2260,0,1,0.0952380952380952,183,190,0.509383378016086,222,148,0.669260700389105
"Toiyabe","Wall","WA04.2",17,31,2303,1,1,0.523809523809524,183,190,0.509383378016086,199,148,0.694623655913978
"Toiyabe","Wall","WA05.1",29,31,2356,1,1,0.523809523809524,183,190,0.509383378016086,193,160,0.681942178151542
"Toiyabe","Wall","WA05.2",22,31,2414,1,1,0.428571428571429,183,190,0.509383378016086,223,148,0.694623655913978
"Toiyabe","Wall","WA06.1",25,31,2405,1,1,0.238095238095238,183,190,0.509383378016086,237,160,0.681942178151542
"Toiyabe","Wall","WA0B1",29,31,2174,1,1,0.0476190476190476,135,138,0.505494505494505,214,133,0.695488721804511
