"range","area","pt","brte","nsamp","elev","pgraze","tburn","tburn2","pgrassf","sppr","wtpr","propwtr","hillshade","medwtpcp","medsppcp","medpropwtr","range_id","area_id","point_id","obs_id"
"Toiyabe","Grass Springs","GS06",18,31,-0.459392110265548,-0.235413917113479,-0.852081417871538,0.726042742681971,0.353376832384355,1.12551356995384,-0.19216624121565,-1.08910072376401,0.115898800968125,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,32,77
"Toiyabe","Grass Springs","GS07",28,31,-0.171932139356952,-0.235413917113479,-0.852081417871538,0.726042742681971,-1.09715874721543,1.12551356995384,-0.19216624121565,-1.08910072376401,-0.75898662841788,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,33,78
"Toiyabe","Grass Springs","GS08",22,31,-0.296239153803912,-0.235413917113479,-0.852081417871538,0.726042742681971,0.353376832384355,1.12551356995384,-0.19216624121565,-1.08910072376401,-2.50875748718989,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,34,79
"Toiyabe","Grass Springs","GS09",30,31,-0.692467762353598,-0.235413917113479,-0.852081417871538,0.726042742681971,-1.09715874721543,1.12551356995384,-0.19216624121565,-1.08910072376401,0.232550191552926,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,35,80
"Toiyabe","Grass Springs","GS10",11,31,-0.816774776800558,-0.235413917113479,-0.852081417871538,0.726042742681971,0.353376832384355,1.12551356995384,-0.19216624121565,-1.08910072376401,0.174224496260526,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,36,81
"Shoshone","Underdown","UN02.2",16,31,-0.156393762551082,0.565539673868771,0.216251199075588,0.0467645811016294,1.07864462218425,1.71004044560392,0.0230318343585853,-1.23821657601816,0.990784230354131,-0.29302509283711,0.338670479415808,0.819442334694072,2,4,61,82
"Shoshone","Underdown","UN03.1",16,31,0.309757541625018,0.565539673868771,0.216251199075588,0.0467645811016294,1.07864462218425,1.71004044560392,0.0230318343585853,-1.23821657601816,0.582504363307328,-0.29302509283711,0.338670479415808,0.819442334694072,2,4,62,83
"Shoshone","Underdown","UN03.2",18,31,0.612755889339483,0.565539673868771,-0.584998263634757,0.34222296845568,0.7160107272843,1.71004044560392,0.0230318343585853,-1.23821657601816,0.407527277430127,-0.29302509283711,0.338670479415808,0.819442334694072,2,4,63,84
"Shoshone","Underdown","UN0B1",18,31,-0.653621820338923,0.565539673868771,-0.584998263634757,0.34222296845568,-0.371890957415537,0.273078542964151,-1.02605878406581,-1.55646346707575,-1.16726649546468,-2.60756611230867,-1.24614077478811,-0.972706106869388,2,4,64,85
"Shoshone","Underdown","UN0B2",17,31,-0.296239153803912,0.565539673868771,-0.584998263634757,0.34222296845568,-0.734524852315486,1.71004044560392,0.0230318343585853,-1.23821657601816,-0.70066093312548,0.816025812326344,0.596663009169934,1.13462850469514,2,4,65,86
"Shoshone","Underdown","UN0B3",22,31,-0.249624023386302,0.565539673868771,-0.584998263634757,0.34222296845568,-0.371890957415537,1.71004044560392,0.0230318343585853,-1.23821657601816,-0.875638019002681,0.816025812326344,0.596663009169934,1.13462850469514,2,4,66,87
"Shoshone","Underdown","UN0B4",23,31,-0.234085646580432,0.565539673868771,-0.584998263634757,0.34222296845568,0.172059884934384,1.71004044560392,0.0230318343585853,-1.23821657601816,0.174224496260526,0.816025812326344,0.596663009169934,1.13462850469514,2,4,67,88
"Shoshone","Underdown","UN0B5",23,31,0.496218063295458,0.565539673868771,-0.584998263634757,0.34222296845568,1.25996156963422,1.71004044560392,0.0230318343585853,-1.23821657601816,-0.292381066078677,0.816025812326344,0.596663009169934,1.13462850469514,2,4,68,89
"Shoshone","Underdown","UN0B6",1,31,0.604986700936548,0.565539673868771,-0.584998263634757,0.34222296845568,1.4412785170842,1.71004044560392,0.0230318343585853,-1.23821657601816,-0.584009542540679,0.816025812326344,0.596663009169934,1.13462850469514,2,4,69,90
"Shoshone","Underdown","UN0B7",3,31,0.713755338577638,0.565539673868771,-0.584998263634757,0.34222296845568,0.53469377983433,1.71004044560392,0.0230318343585853,-1.23821657601816,-0.000752589616675449,0.816025812326344,0.596663009169934,1.13462850469514,2,4,70,91
"Toiyabe","Wall","WA03.2",24,31,0.263142411207408,0.565539673868771,0.483334353312369,0.233612097091886,1.25996156963422,1.05244771049758,-0.474613715406834,-1.36624110744441,1.63236687857053,-1.86016224143764,-0.214170655771604,-0.865504938358246,3,5,72,92
"Toiyabe","Wall","WA04.2",17,31,1.05559962830678,0.565539673868771,0.483334353312369,0.233612097091886,0.53469377983433,2.22150146179773,0.224780030209431,-1.33014604247401,-0.234055370786277,-0.485903511126406,1.8497695822614,-0.61521380665096,3,5,73,93
"Toiyabe","Wall","WA05.1",29,31,1.46736661366233,0.565539673868771,0.483334353312369,0.233612097091886,0.53469377983433,2.22150146179773,0.224780030209431,-1.33014604247401,-0.584009542540679,0.0927317437414829,1.37064059843231,-1.28007351393084,3,5,74,94
"Toiyabe","Wall","WA05.2",22,31,1.91797954103256,0.565539673868771,0.483334353312369,0.233612097091886,0.172059884934384,2.22150146179773,0.224780030209431,-1.33014604247401,1.16576131623133,-0.485903511126406,1.8497695822614,-0.61521380665096,3,5,75,95
"Toiyabe","Wall","WA06.1",25,31,1.84805684540615,0.565539673868771,0.483334353312369,0.233612097091886,-0.553207904865511,2.22150146179773,0.224780030209431,-1.33014604247401,1.98232105032494,0.0927317437414829,1.37064059843231,-1.28007351393084,3,5,76,96
"Toiyabe","Wall","WA0B1",29,31,0.0533743243281626,0.565539673868771,0.483334353312369,0.233612097091886,-1.2784756946654,1.05244771049758,-0.474613715406834,-1.36624110744441,0.640830058599729,-1.20919757971127,0.301814403736648,-0.569860460177314,3,5,77,97
"Toiyabe","Wall","WA0B2",29,31,0.348603483639693,0.565539673868771,0.483334353312369,0.233612097091886,-1.09715874721543,2.22150146179773,0.224780030209431,-1.33014604247401,-1.80884914368109,1.20178264890494,1.8497695822614,-0.61521380665096,3,5,78,98
"Toiyabe","Wall","WA0B3",26,31,0.465141309683718,0.565539673868771,0.483334353312369,0.233612097091886,-1.2784756946654,2.22150146179773,0.224780030209431,-1.33014604247401,1.45738979269333,1.20178264890494,1.8497695822614,-0.61521380665096,3,5,79,99
"Toiyabe","Wall","WA0B4",21,31,0.744832092189378,0.565539673868771,0.483334353312369,0.233612097091886,-1.2784756946654,2.22150146179773,0.224780030209431,-1.33014604247401,1.92399535503254,1.20178264890494,1.8497695822614,-0.61521380665096,3,5,80,100
"Toiyabe","Wall","WA0B5",28,31,0.775908845801118,0.565539673868771,0.483334353312369,0.233612097091886,0.172059884934384,2.22150146179773,0.224780030209431,-1.33014604247401,0.757481449184529,1.20178264890494,1.8497695822614,-0.61521380665096,3,5,81,101
"Toiyabe","Wall","WA0B6",22,31,1.19544501955961,0.565539673868771,0.483334353312369,0.233612097091886,-1.45979264211538,2.22150146179773,0.224780030209431,-1.33014604247401,-0.75898662841788,1.20178264890494,1.8497695822614,-0.61521380665096,3,5,82,102
"Toiyabe","Wall","WA0B7",28,31,1.59167362810929,0.565539673868771,0.483334353312369,0.233612097091886,-0.734524852315486,2.22150146179773,0.224780030209431,-1.33014604247401,-0.350706761371078,1.20178264890494,1.8497695822614,-0.61521380665096,3,5,83,103
"Toiyabe","Birch","BI0B1",30,31,-2.07538329807603,0.0315706121459994,-0.584998263634757,0.34222296845568,0.7160107272843,0.0538809645953732,0.830024617761968,0.571681055019611,0.174224496260526,-1.25741718428359,-1.24614077478811,0.74604731525547,3,1,1,104
"Toiyabe","Birch","BI0B2",29,31,-1.91999953001733,0.0315706121459994,-0.584998263634757,0.34222296845568,0.53469377983433,0.0538809645953732,0.830024617761968,0.571681055019611,0.115898800968125,-1.25741718428359,-1.24614077478811,0.74604731525547,3,1,2,105
"Toiyabe","Birch","BI0B3",29,31,-1.85007683439091,0.0315706121459994,-0.584998263634757,0.34222296845568,1.25996156963422,0.0538809645953732,0.830024617761968,0.571681055019611,0.290875886845326,-1.25741718428359,-1.24614077478811,0.74604731525547,3,1,3,106
"Toiyabe","Birch","BI0B4",17,31,-1.60923199389993,0.0315706121459994,-0.584998263634757,0.34222296845568,0.7160107272843,0.0538809645953732,0.830024617761968,0.571681055019611,1.39906409740093,-1.25741718428359,-1.24614077478811,0.74604731525547,3,1,4,107
"Toiyabe","Birch","BISG01",20,31,-1.89669196480852,0.0315706121459994,-0.584998263634757,0.34222296845568,0.897327674734275,0.0538809645953732,0.830024617761968,0.571681055019611,0.990784230354131,0.285610162030779,-1.24614077478811,0.74604731525547,3,1,5,108
"Toiyabe","Birch","BISG02",20,31,-1.92776871842026,0.0315706121459994,-0.584998263634757,0.34222296845568,0.353376832384355,0.0538809645953732,0.830024617761968,0.571681055019611,1.80734396444774,0.285610162030779,-1.24614077478811,0.74604731525547,3,1,6,109
"Toiyabe","Birch","BISG03",18,31,-2.03653735606135,0.0315706121459994,-0.584998263634757,0.34222296845568,1.25996156963422,0.0538809645953732,0.830024617761968,0.571681055019611,0.115898800968125,0.285610162030779,-1.24614077478811,0.74604731525547,3,1,7,110
"Toiyabe","Birch","BISG04",13,22,-2.04430654446429,0.0315706121459994,-0.584998263634757,0.34222296845568,1.63392777374979,0.0538809645953732,0.830024617761968,0.571681055019611,-0.875638019002681,0.285610162030779,-1.24614077478811,0.74604731525547,3,1,8,111
"Toiyabe","Birch","BISG05",21,31,-2.0909216748819,0.0315706121459994,-0.584998263634757,0.34222296845568,1.62259546453417,0.0538809645953732,0.830024617761968,0.571681055019611,0.699155753892129,0.285610162030779,-1.24614077478811,0.74604731525547,3,1,9,112
"Toiyabe","Birch","BISG06",20,31,-2.12199842849364,0.0315706121459994,-0.584998263634757,0.34222296845568,1.25996156963422,0.0538809645953732,0.830024617761968,0.571681055019611,0.174224496260526,0.285610162030779,-1.24614077478811,0.74604731525547,3,1,10,113
"Toiyabe","Birch","BISG07",20,31,-2.12199842849364,0.0315706121459994,-0.584998263634757,0.34222296845568,0.53469377983433,0.0538809645953732,0.830024617761968,0.571681055019611,0.0575731056757249,0.285610162030779,-1.24614077478811,0.74604731525547,3,1,11,114
"Toiyabe","Birch","BISG08",21,31,-2.18415193571712,0.0315706121459994,-0.584998263634757,0.34222296845568,-0.553207904865511,0.0538809645953732,0.830024617761968,0.571681055019611,0.174224496260526,0.285610162030779,-1.24614077478811,0.74604731525547,3,1,12,115
"Monitor","Elkhorn","EH01",0,31,0.838062353024598,0.565539673868771,-1.11916457210832,1.2525293394624,-1.2784756946654,1.12551356995384,1.90601499563314,0.396058969888678,-0.0590782849090758,-0.437683906554082,-0.877580017996498,0.448470520223652,1,2,13,116
"Monitor","Elkhorn","EH02",0,31,1.1721374543508,0.565539673868771,-1.11916457210832,1.2525293394624,-0.553207904865511,1.12551356995384,1.90601499563314,0.396058969888678,0.699155753892129,-0.437683906554082,-0.877580017996498,0.448470520223652,1,2,14,117
"Monitor","Elkhorn","EH03",3,31,1.29644446879776,0.565539673868771,-1.11916457210832,1.2525293394624,-1.45979264211538,1.12551356995384,1.90601499563314,0.396058969888678,-1.34224358134188,-0.437683906554082,-0.877580017996498,0.448470520223652,1,2,15,118
"Monitor","Elkhorn","EH04",2,31,1.42852067164766,0.565539673868771,-1.11916457210832,1.2525293394624,-1.45979264211538,1.12551356995384,1.90601499563314,0.396058969888678,2.15729813620214,-0.437683906554082,-0.877580017996498,0.448470520223652,1,2,16,119
"Monitor","Elkhorn","EHSG01",0,31,1.08667638191852,0.565539673868771,-1.11916457210832,1.2525293394624,-1.09715874721543,1.12551356995384,1.90601499563314,0.396058969888678,0.232550191552926,0.237390557458455,-0.877580017996498,0.448470520223652,1,2,17,120
"Monitor","Elkhorn","EHSG02",0,31,1.04783043990384,0.565539673868771,-1.11916457210832,1.2525293394624,1.98522935943412,1.12551356995384,1.90601499563314,0.396058969888678,-0.0590782849090758,0.237390557458455,-0.877580017996498,0.448470520223652,1,2,18,121
"Monitor","Elkhorn","EHSG03",3,31,1.08667638191852,0.565539673868771,-1.11916457210832,1.2525293394624,-1.2784756946654,1.12551356995384,1.90601499563314,0.396058969888678,-0.350706761371078,0.237390557458455,-0.877580017996498,0.448470520223652,1,2,19,122
"Monitor","Elkhorn","EHSG04",0,31,1.00898449788917,0.565539673868771,-1.11916457210832,1.2525293394624,-0.915841799765457,1.12551356995384,1.90601499563314,0.396058969888678,-0.234055370786277,0.237390557458455,-0.877580017996498,0.448470520223652,1,2,20,123
"Monitor","Elkhorn","EHSG05",0,31,1.17990664275374,0.565539673868771,-1.11916457210832,1.2525293394624,-1.45979264211538,1.12551356995384,1.90601499563314,0.396058969888678,0.115898800968125,0.237390557458455,-0.877580017996498,0.448470520223652,1,2,21,124
"Monitor","Elkhorn","EHSG06",1,31,1.06336881670971,0.565539673868771,-1.11916457210832,1.2525293394624,-1.2784756946654,1.12551356995384,1.90601499563314,0.396058969888678,-0.0590782849090758,0.237390557458455,-0.877580017996498,0.448470520223652,1,2,22,125
"Monitor","Elkhorn","EHSG07",0,30,1.18767583115667,0.565539673868771,-1.11916457210832,1.2525293394624,-1.45979264211538,1.12551356995384,1.90601499563314,0.396058969888678,0.582504363307328,0.237390557458455,-0.877580017996498,0.448470520223652,1,2,23,126
"Monitor","Elkhorn","EHSG08",1,31,1.07113800511265,0.565539673868771,-1.11916457210832,1.2525293394624,-1.45979264211538,1.12551356995384,1.90601499563314,0.396058969888678,0.699155753892129,0.237390557458455,-0.877580017996498,0.448470520223652,1,2,24,127
"Monitor","Elkhorn","EHSG09",0,31,1.22652177317135,0.565539673868771,-1.11916457210832,1.2525293394624,-1.45979264211538,1.12551356995384,1.90601499563314,0.396058969888678,1.63236687857053,0.237390557458455,-0.877580017996498,0.448470520223652,1,2,25,128
"Monitor","Elkhorn","EHSG10",0,31,1.14106070073906,0.565539673868771,-1.11916457210832,1.2525293394624,-1.45979264211538,1.12551356995384,1.90601499563314,0.396058969888678,2.27394952678694,0.237390557458455,-0.877580017996498,0.448470520223652,1,2,26,129
"Toiyabe","Grass Springs","GS01",31,31,0.0922202663428376,0.0315706121459994,-0.317915109397975,0.101070016783527,0.172059884934384,0.638407840245447,1.19317137029349,0.341385041807128,-1.16726649546468,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,27,130
"Toiyabe","Grass Springs","GS02",20,31,-0.257393211789237,0.0315706121459994,-0.317915109397975,0.101070016783527,1.62259546453417,0.638407840245447,1.19317137029349,0.341385041807128,-1.10894080017228,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,28,131
"Toiyabe","Grass Springs","GS03",27,31,-0.638083443533053,0.0315706121459994,-0.317915109397975,0.101070016783527,-0.00925706251559089,0.638407840245447,1.19317137029349,0.341385041807128,1.51571548798573,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,29,132
"Toiyabe","Grass Springs","GS04",29,31,-0.684698573950663,0.0315706121459994,-0.317915109397975,0.101070016783527,-0.190574009965566,0.638407840245447,1.19317137029349,0.341385041807128,0.990784230354131,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,30,133
"Toiyabe","Grass Springs","GS05",31,31,-0.622545066727183,0.0315706121459994,-0.317915109397975,0.101070016783527,1.07864462218425,0.638407840245447,1.19317137029349,0.341385041807128,0.349201582137727,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,31,134
"Toiyabe","Grass Springs","GS06",31,31,-0.459392110265548,0.0315706121459994,-0.317915109397975,0.101070016783527,-0.00925706251559089,0.638407840245447,1.19317137029349,0.341385041807128,0.115898800968125,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,32,135
"Toiyabe","Grass Springs","GS07",29,31,-0.171932139356952,0.0315706121459994,-0.317915109397975,0.101070016783527,-0.915841799765457,0.638407840245447,1.19317137029349,0.341385041807128,-0.75898662841788,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,33,136
"Toiyabe","Grass Springs","GS08",27,31,-0.296239153803912,0.0315706121459994,-0.317915109397975,0.101070016783527,0.353376832384355,0.638407840245447,1.19317137029349,0.341385041807128,-2.50875748718989,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,34,137
"Toiyabe","Grass Springs","GS09",30,31,-0.692467762353598,0.0315706121459994,-0.317915109397975,0.101070016783527,-0.553207904865511,0.638407840245447,1.19317137029349,0.341385041807128,0.232550191552926,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,35,138
"Toiyabe","Grass Springs","GS10",28,31,-0.816774776800558,0.0315706121459994,-0.317915109397975,0.101070016783527,0.53469377983433,0.638407840245447,1.19317137029349,0.341385041807128,0.174224496260526,0.0686219414553209,0.154390101020004,0.512536421429782,3,3,36,139
"Toiyabe","Grass Springs","GSSG01",17,31,-0.607006689921313,0.0315706121459994,-0.317915109397975,0.101070016783527,1.62259546453417,0.638407840245447,1.19317137029349,0.341385041807128,0.232550191552926,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,37,140
"Toiyabe","Grass Springs","GSSG02",31,31,-0.591468313115443,0.0315706121459994,-0.317915109397975,0.101070016783527,1.25996156963422,0.638407840245447,1.19317137029349,0.341385041807128,-0.0590782849090758,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,38,141
"Toiyabe","Grass Springs","GSSG03",14,31,-0.599237501518378,0.0315706121459994,-0.317915109397975,0.101070016783527,1.80391241198414,0.638407840245447,1.19317137029349,0.341385041807128,-0.234055370786277,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,39,142
"Toiyabe","Grass Springs","GSSG04",28,31,-0.560391559503703,0.0315706121459994,-0.317915109397975,0.101070016783527,1.98522935943412,0.638407840245447,1.19317137029349,0.341385041807128,0.0575731056757249,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,40,143
"Toiyabe","Grass Springs","GSSG05",22,31,-0.544853182697833,0.0315706121459994,-0.317915109397975,0.101070016783527,2.16654630688409,0.638407840245447,1.19317137029349,0.341385041807128,-0.117403980201476,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,41,144
"Toiyabe","Grass Springs","GSSG06",27,31,-0.529314805891963,0.0315706121459994,-0.317915109397975,0.101070016783527,0.353376832384355,0.638407840245447,1.19317137029349,0.341385041807128,-0.000752589616675449,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,42,145
"Toiyabe","Grass Springs","GSSG07",30,31,-0.529314805891963,0.0315706121459994,-0.317915109397975,0.101070016783527,1.07864462218425,0.638407840245447,1.19317137029349,0.341385041807128,-0.117403980201476,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,43,146
"Toiyabe","Grass Springs","GSSG08",31,31,-0.490468863877288,0.0315706121459994,-0.317915109397975,0.101070016783527,-0.190574009965566,0.638407840245447,1.19317137029349,0.341385041807128,-0.175729675493877,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,44,147
"Toiyabe","Grass Springs","GSSG09",30,31,-0.428315356653808,0.0315706121459994,-0.317915109397975,0.101070016783527,0.53469377983433,0.638407840245447,1.19317137029349,0.341385041807128,-0.933963714295081,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,45,148
"Toiyabe","Grass Springs","GSSG10",27,31,-0.451622921862613,0.0315706121459994,-0.317915109397975,0.101070016783527,0.7160107272843,0.638407840245447,1.19317137029349,0.341385041807128,0.0575731056757249,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,46,149
"Toiyabe","Grass Springs","GSSG11",31,31,-0.389469414639132,0.0315706121459994,-0.317915109397975,0.101070016783527,-0.553207904865511,0.638407840245447,1.19317137029349,0.341385041807128,-0.992289409587482,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,47,150
"Toiyabe","Grass Springs","GSSG12",30,31,-0.443853733459678,0.0315706121459994,-0.317915109397975,0.101070016783527,-0.734524852315486,0.638407840245447,1.19317137029349,0.341385041807128,-0.409032456663478,1.15356304433261,-0.287882807129925,0.386249917626093,3,3,48,151
"Shoshone","Underdown","UN02.2",27,31,-0.156393762551082,0.565539673868771,0.75041750754915,0.563126435636279,1.98522935943412,0.297433829449571,1.74461643895247,0.851856533829228,0.990784230354131,-0.29302509283711,0.338670479415808,0.819442334694072,2,4,61,152
"Shoshone","Underdown","UN03.1",28,31,0.309757541625018,0.565539673868771,0.75041750754915,0.563126435636279,0.897327674734275,0.297433829449571,1.74461643895247,0.851856533829228,0.582504363307328,-0.29302509283711,0.338670479415808,0.819442334694072,2,4,62,153
