,mean,se_mean,sd,10%,50%,90%,n_eff,Rhat
Elevation,0.41,0.00,0.10,0.27,0.41,0.54,4000.00,1.00
Hillshade,-0.31,0.00,0.03,-0.35,-0.31,-0.27,4000.00,1.00
Med. Winter precip.,0.25,0.00,0.05,0.18,0.25,0.32,2934.42,1.00
Med. Spring precip.,-0.53,0.00,0.09,-0.64,-0.53,-0.41,2408.90,1.00
Med. Winter precip./Total precip.,0.04,0.00,0.04,0.00,0.04,0.09,4000.00,1.00
Grazed,-0.13,0.00,0.04,-0.18,-0.13,-0.08,4000.00,1.00
Time Since Burn,1.03,0.00,0.05,0.97,1.03,1.10,2743.66,1.00
Time Since Burn2,-0.73,0.00,0.03,-0.77,-0.73,-0.69,4000.00,1.00
Perennial grass frequency,-0.01,0.00,0.03,-0.05,-0.01,0.03,4000.00,1.00
Spring precip.,-0.22,0.00,0.11,-0.36,-0.22,-0.07,1852.47,1.00
Winter precip.,0.26,0.00,0.09,0.15,0.26,0.38,1987.15,1.00
Winter precip./Total precip.,-0.27,0.00,0.11,-0.41,-0.27,-0.12,1803.99,1.00